Date,미결제 약정 (Open Interest)
2021.9.25,8662720520
2021.9.26,8657121920
2021.9.27,8606459339
2021.9.28,8488700157
2021.9.29,8808609968
2021.9.30,8998961804
2021.10.1,9900669537
2021.10.2,9771038248
2021.10.3,9812315324
2021.10.4,10101065663
2021.10.5,11038109562
2021.10.6,11097394788
2021.10.7,11208266274
2021.10.8,11168677187
2021.10.9,11303504058
2021.10.10,11578707192
2021.10.11,12377024314
2021.10.12,11951636329
2021.10.13,12098735645
2021.10.14,12160273792
2021.10.15,13466987559
2021.10.16,13534185261
2021.10.17,13627514344
2021.10.18,13532235879
2021.10.19,14677052041
2021.10.20,15337485318
2021.10.21,14580622182
2021.10.22,14216837151
2021.10.23,14037559333
2021.10.24,14284534642
2021.10.25,14540151148
2021.10.26,14362604354
2021.10.27,13468457637
2021.10.28,13518457489
2021.10.29,14045974352
2021.10.30,13943583366
2021.10.31,14475280103
2021.11.1,14204836587
2021.11.2,14988418486
2021.11.3,14880243899
2021.11.4,14758734811
2021.11.5,14799094445
2021.11.6,14898077208
2021.11.7,15190655032
2021.11.8,16654188481
2021.11.9,16511995126
2021.11.10,15662691883
2021.11.11,15244724795
2021.11.12,15100563747
2021.11.13,15179957510
2021.11.14,15663034043
2021.11.15,16117593520
2021.11.16,14883924342
2021.11.17,14899164536
2021.11.18,14509511271
2021.11.19,14329629004
2021.11.20,14499917647
2021.11.21,14274563125
2021.11.22,14292954659
2021.11.23,14210136352
2021.11.24,14491848977
2021.11.25,15049241105
2021.11.26,14905774943
2021.11.27,14583586478
2021.11.28,14834570644
2021.11.29,15028223252
2021.11.30,14562252732
2021.12.1,15088750170
2021.12.2,14891165523
2021.12.3,14420231036
2021.12.4,10658617213
2021.12.5,10479353651
2021.12.6,10787317783
2021.12.7,11070089796
2021.12.8,11078285530
2021.12.9,10813141813
2021.12.10,10446094330
2021.12.11,10958189416
2021.12.12,11430055602
2021.12.13,10833153634
2021.12.14,10991443987
2021.12.15,11157346442
2021.12.16,11304574602
2021.12.17,11011276607
2021.12.18,11266575574
2021.12.19,11312150881
2021.12.20,11953148776
2021.12.21,13055022063
2021.12.22,12898614970
2021.12.23,13577946460
2021.12.24,13592136250
2021.12.25,13548292970
2021.12.26,13581492855
2021.12.27,13787585752
2021.12.28,13198702489
2021.12.29,12931319468
2021.12.30,13064699998
2021.12.31,12999196432
2022.1.1,13090906344
2022.1.2,13018148734
2022.1.3,13509612026
2022.1.4,13491629257
2022.1.5,12746511539
2022.1.6,12827115102
2022.1.7,12214783121
2022.1.8,12095095128
2022.1.9,12211527351
2022.1.10,12015582854
2022.1.11,12299343436
2022.1.12,12506804643
2022.1.13,12254008682
2022.1.14,12104839736
2022.1.15,12147520489
2022.1.16,12001604595
2022.1.17,12086897070
2022.1.18,12044600749
2022.1.19,11928933697
2022.1.20,11738303407
2022.1.21,10084561711
2022.1.22,9684593530
2022.1.23,10084131594
2022.1.24,9975870299
2022.1.25,10280768562
2022.1.26,9986315949
2022.1.27,9974869177
2022.1.28,10190146320
2022.1.29,10306414341
2022.1.30,10273627563
2022.1.31,10983053994
2022.2.1,10665990804
2022.2.2,10185253520
2022.2.3,10237732838
2022.2.4,11511232295
2022.2.5,11427139228
2022.2.6,11765385302
2022.2.7,12144349388
2022.2.8,11774857555
2022.2.9,11798731623
2022.2.10,11402313934
2022.2.11,11127062781
2022.2.12,11089185650
2022.2.13,11060178927
2022.2.14,11483314518
2022.2.15,12363166833
2022.2.16,12016630936
2022.2.17,11001378377
2022.2.18,10776310425
2022.2.19,10900414335
2022.2.20,10465138523
2022.2.21,9939661498
2022.2.22,10380305168
2022.2.23,10015253618
2022.2.24,9663309358
2022.2.25,10054690322
2022.2.26,10088721606
2022.2.27,9682393046
2022.2.28,10900360610
2022.3.1,11501446994
2022.3.2,11317356606
2022.3.3,11093771645
2022.3.4,10227914450
2022.3.5,10431330384
2022.3.6,9952941612
2022.3.7,9573911870
2022.3.8,9894366806
2022.3.9,11092611163
2022.3.10,10268218693
2022.3.11,10266275404
2022.3.12,10438737744
2022.3.13,10551318633
2022.3.14,10839435801
2022.3.15,11047029294
2022.3.16,11319024707
2022.3.17,11328297531
2022.3.18,11672552170
2022.3.19,11856194892
2022.3.20,11412711553
2022.3.21,11339945167
2022.3.22,11752544031
2022.3.23,11904252377
2022.3.24,13577803964
2022.3.25,13948295764
2022.3.26,14029646135
2022.3.27,14494831893
2022.3.28,14082787954
2022.3.29,14187220893
2022.3.30,14171494820
2022.3.31,13690526835
2022.4.1,13619466637
2022.4.2,13384251880
2022.4.3,13579125758
2022.4.4,13813656987
2022.4.5,13787888107
2022.4.6,13286210464
2022.4.7,13344694093
2022.4.8,13176817200
2022.4.9,13407974755
2022.4.10,13376526561
2022.4.11,12559245907
2022.4.12,12700315996
2022.4.13,12706426979
2022.4.14,12771808635
2022.4.15,12710786732
