Date,Data
2018.8.31,1853242.371
2018.9.1,1853178.39
2018.9.2,1854180.343
2018.9.3,1853854.08
2018.9.4,1852757.681
2018.9.5,1853810.682
2018.9.6,1853143.897
2018.9.7,1854175.704
2018.9.8,1854891.238
2018.9.9,1855363.285
2018.9.10,1854187.913
2018.9.11,1854935.449
2018.9.12,1855479.135
2018.9.13,1856046.751
2018.9.14,1856404.774
2018.9.15,1856815.801
2018.9.16,1857544.971
2018.9.17,1857430.675
2018.9.18,1857122.821
2018.9.19,1857601.619
2018.9.20,1858544.627
2018.9.21,1858255.708
2018.9.22,1857280.214
2018.9.23,1857746.55
2018.9.24,1858150.131
2018.9.25,1858135.702
2018.9.26,1858110.485
2018.9.27,1857400.216
2018.9.28,1856896.429
2018.9.29,1857349.335
2018.9.30,1857301.437
2018.10.1,1857374.938
2018.10.2,1857732.011
2018.10.3,1860350.157
2018.10.4,1857968.464
2018.10.5,1857764.167
2018.10.6,1857127.992
2018.10.7,1857384.871
2018.10.8,1857455.909
2018.10.9,1854678.682
2018.10.10,1854462.23
2018.10.11,1855287.905
2018.10.12,1855147.116
2018.10.13,1855696.598
2018.10.14,1855101.964
2018.10.15,1854958.509
2018.10.16,1854817.388
2018.10.17,1853917.869
2018.10.18,1852423.262
2018.10.19,1852732.02
2018.10.20,1852213.736
2018.10.21,1852510.969
2018.10.22,1852829.812
2018.10.23,1853357.075
2018.10.24,1853155.342
2018.10.25,1853267.988
2018.10.26,1853025.008
2018.10.27,1852862.174
2018.10.28,1854174.817
2018.10.29,1853250.655
2018.10.30,1854093.575
2018.10.31,1854331.511
2018.11.1,1854211.485
2018.11.2,1854859.505
2018.11.3,1854490.998
2018.11.4,1855058.026
2018.11.5,1854672.541
2018.11.6,1854853.934
2018.11.7,1853704.201
2018.11.8,1853245.194
2018.11.9,1853463.325
2018.11.10,1853887.383
2018.11.11,1854455.493
2018.11.12,1854088.041
2018.11.13,1854472.737
2018.11.14,1854840.178
2018.11.15,1854667.226
2018.11.16,1853909.146
2018.11.17,1853853.912
2018.11.18,1854524.883
2018.11.19,1854236.073
2018.11.20,1855008.13
2018.11.21,1854455.709
2018.11.22,1854390.949
2018.11.23,1855229.789
2018.11.24,1854676.286
2018.11.25,1853729.078
2018.11.26,1852820.351
2018.11.27,1852840.817
2018.11.28,1850034.101
2018.11.29,1850034.449
2018.11.30,1849678.097
2018.12.1,1849505.057
2018.12.2,1849991.892
2018.12.3,1850161.677
2018.12.4,1850613.222
2018.12.5,1849891.069
2018.12.6,1851337.538
2018.12.7,1850101.696
2018.12.8,1847940.53
2018.12.9,1848467.135
2018.12.10,1849225.263
2018.12.11,1848758.087
2018.12.12,1849159.243
2018.12.13,1849294.328
2018.12.14,1850649.418
2018.12.15,1851047.363
2018.12.16,1851572.366
2018.12.17,1849882.555
2018.12.18,1853990.262
2018.12.19,1853492.63
2018.12.20,1853507.932
2018.12.21,1853859.215
2018.12.22,1853984.881
2018.12.23,1855009.342
2018.12.24,1853859.809
2018.12.25,1854295.013
2018.12.26,1853941.751
2018.12.27,1854728.684
2018.12.28,1854192.082
2018.12.29,1854180.11
2018.12.30,1854620.217
2018.12.31,1855409.75
2019.1.1,1856346.964
2019.1.2,1855442.264
2019.1.3,1856249.942
2019.1.4,1856302.263
2019.1.5,1854578.407
2019.1.6,1854325.22
2019.1.7,1853287.808
2019.1.8,1853996.656
2019.1.9,1851524.354
2019.1.10,1852523.271
2019.1.11,1851880.037
2019.1.12,1851752.581
2019.1.13,1849633.764
2019.1.14,1849963.23
2019.1.15,1850246.636
2019.1.16,1850091.92
2019.1.17,1850266.195
2019.1.18,1850009.111
2019.1.19,1852234.38
2019.1.20,1852245.81
2019.1.21,1852201.972
2019.1.22,1852168.447
2019.1.23,1852676.748
2019.1.24,1852004.113
2019.1.25,1852696.013
2019.1.26,1851006.778
2019.1.27,1851183.363
2019.1.28,1848813.501
2019.1.29,1848874.259
2019.1.30,1848795.886
2019.1.31,1849334.827
2019.2.1,1849761.325
2019.2.2,1849846.913
2019.2.3,1850071.325
2019.2.4,1850878.351
2019.2.5,1851196.363
2019.2.6,1849899.704
2019.2.7,1850426.8
2019.2.8,1850880.818
2019.2.9,1851065.906
2019.2.10,1851162.387
2019.2.11,1851775.468
2019.2.12,1851933.069
2019.2.13,1842380.562
2019.2.14,1842453.468
2019.2.15,1842675.911
2019.2.16,1842870.6
2019.2.17,1842594.883
2019.2.18,1842853.308
2019.2.19,1840547.801
2019.2.20,1840504.042
2019.2.21,1840335.306
2019.2.22,1840174.783
2019.2.23,1840344.851
2019.2.24,1840691.453
2019.2.25,1840760.029
2019.2.26,1841460.806
2019.2.27,1841683.276
2019.2.28,1841173.435
2019.3.1,1840232.935
2019.3.2,1840586.804
2019.3.3,1840835.319
2019.3.4,1841265.135
2019.3.5,1841579.556
2019.3.6,1841724.641
2019.3.7,1841171.707
2019.3.8,1841821.341
2019.3.9,1842280.576
2019.3.10,1842269.771
2019.3.11,1841930.35
2019.3.12,1841446.71
2019.3.13,1841305.995
2019.3.14,1841302.341
2019.3.15,1839721.218
2019.3.16,1840124.458
2019.3.17,1839991.517
2019.3.18,1840362.857
2019.3.19,1840215.213
2019.3.20,1839812.682
2019.3.21,1839059.164
2019.3.22,1839479.548
2019.3.23,1839992.69
2019.3.24,1840535.724
2019.3.25,1840805.269
2019.3.26,1836992.807
2019.3.27,1837148.494
2019.3.28,1837739.48
2019.3.29,1836450.145
2019.3.30,1836981.309
2019.3.31,1837447.06
2019.4.1,1836718.277
2019.4.2,1835949.793
2019.4.3,1835210.845
2019.4.4,1835514.988
2019.4.5,1840724.161
2019.4.6,1841328.785
2019.4.7,1841655.344
2019.4.8,1840533.672
2019.4.9,1840995.505
2019.4.10,1840056.052
2019.4.11,1840745.66
2019.4.12,1840872.281
2019.4.13,1841359.377
2019.4.14,1840997.551
2019.4.15,1840800.244
2019.4.16,1840992.123
2019.4.17,1841051.995
2019.4.18,1840693.998
2019.4.19,1841012.953
2019.4.20,1841951.577
2019.4.21,1841888.817
2019.4.22,1841093.454
2019.4.23,1841413.654
2019.4.24,1872151.983
2019.4.25,1871572.989
2019.4.26,1871843.562
2019.4.27,1872097.972
2019.4.28,1872470.199
2019.4.29,1872286.008
2019.4.30,1871644.96
2019.5.1,1872334.258
2019.5.2,1872709.392
2019.5.3,1873041.413
2019.5.4,1871656.125
2019.5.5,1871626.431
2019.5.6,1871271.153
2019.5.7,1873054.313
2019.5.8,1873105.596
2019.5.9,1872634.709
2019.5.10,1875509.691
2019.5.11,1872603.86
2019.5.12,1872704.216
2019.5.13,1873060.729
2019.5.14,1872612.103
2019.5.15,1871881.502
2019.5.16,1872069.475
2019.5.17,1872461.098
2019.5.18,1871852.972
2019.5.19,1870532.536
2019.5.20,1870537.332
2019.5.21,1870856.693
2019.5.22,1870942.711
2019.5.23,1870986.893
2019.5.24,1870676.093
2019.5.25,1870670.971
2019.5.26,1870923.348
2019.5.27,1870499.298
2019.5.28,1871182.648
2019.5.29,1869872.892
2019.5.30,1869483.491
2019.5.31,1869276.24
2019.6.1,1869648.163
2019.6.2,1869888.198
2019.6.3,1869729.001
2019.6.4,1869236.025
2019.6.5,1868872.252
2019.6.6,1869407.292
2019.6.7,1869250.041
2019.6.8,1868667.155
2019.6.9,1868519.088
2019.6.10,1868765.77
2019.6.11,1868778.379
2019.6.12,1869172.683
2019.6.13,1868434.859
2019.6.14,1868368.003
2019.6.15,1869021.968
2019.6.16,1868434.056
2019.6.17,1868686.476
2019.6.18,1868730.629
2019.6.19,1868199.427
2019.6.20,1867265.475
2019.6.21,1868305.185
2019.6.22,1863534.96
2019.6.23,1863029.417
2019.6.24,1863384.336
2019.6.25,1863230.833
2019.6.26,1863599.755
2019.6.27,1862185.292
2019.6.28,1862781.121
